Medical name ,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Latitude,Longitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude2,Longitude2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB,Symptoms and signs
,,,,Medizinische Universität Graz, +43 (0)316 385 13485,"Auenbruggerpl. 2, 8036 Graz, Austria",,,CLCC Institut Curie, +33 (0)1 44 32 45 55/50,26 rue d'Ulm 75248 PARIS CEDEX 05 FRANCE,,,FISH,"United Kingdom, Melanoma Focus",https://melanomafocus.com,,,,,,,Vomiting
,,,,Universitätsklinikum Freiburg, +00 49 (0)761 270 0,Hugstetter Str. 5579106 FREIBURGGERMANY,,,UMCG - Universitair Medisch Centrum Groningen, +31 (0)50 361 6161,Hanzeplein 1 9713 GZ GRONINGEN NETHERLANDS,,,,"United Kingdom, CLIC Sargent",https://www.clicsargent.org.uk,,,,,,,Headache
,,,,Christian-Doppler-Klinik - Universitätsklinikum der PMU, +43 (0)5 7255 30200,Ignaz-Harrer-Straße 795020 SALZBURGAUSTRIA,,,"Amsterdam UMC, locatie VUmc", +31 (0)20 444 4444,De Boelelaan 1117 1081 HV AMSTERDAM NETHERLANDS,,,,"United Kingdom, Teenage Camcer trust",https://www.teenagecancertrust.org,,,,,,,Neurologic symptoms
,,,,Medizinische Universität Innsbruck, +43 (0)512 504 23858,"Innrain, Christoph-Probst-Platz 52, 6020 Innsbruck, Austria",,,Hospital Sant Joan de Déu Barcelona, +34 93 253 21 00,"Paseo de Sant Joan de Déu, 2 08950 ESPLUGUES DE LLOBREGAT SPAIN",,,,"Australia, RCA Rare Cancers Australia limited",https://melanomafocus.com,,,,,,,
,,,,Universitätsklinik für NeuroradiologieMedizinische Universität Innsbruck, +43 (0)50504 27095,"Innrain, Christoph-Probst-Platz 52, 6020 Innsbruck, Austria",,,Hospital General Universitario de Alicante, +34 965913535,"Avenida Pintor Baeza, 12 03010 ALICANTE SPAIN
",,,,"Belgium, Fondation contre le Cancer, Fondation d'utilité publique",https://www.cancer.be,,,,,,,
,,,,Allgemeines Krankenhaus der Stadt Wien, +43 (0)1 40400 32320,Währinger Gürtel 18-201097 WIENAUSTRIA,,,CHR de Metz-Thionville," +33 (0)3 87 34 51 35
",1 allée du château - CS45001 57085 METZ CEDEX 03 FRANCE,,,,"Cyprus, Cyprus Association for Children with Cancer and Related Diseases ""One Dream One Wish""",http://www.enaoniromiaefxi.com/enaoniromiaefxi/,,,,,,,
,,,,CLCC Institut Curie, +33 (0)1 44 32 45 55/50,26 rue d'Ulm75248 PARIS CEDEX 05FRANCE,,,University Hospital of Antwerp - UZA, + 32 (0)3 275 97 74,Wilrijkstraat 10 2650 ANTWERPEN-EDEGEM BELGIUM,,,,"Cyprus, PA.SY.KA.F - The Cyprus Association of Cancer Patients and Friends",https://pasykaf.org,,,,,,,
,,,,Universitätsklinikum Freiburg, +00 49 (0)761 270 0,Hugstetter Str. 5579106 FREIBURGGERMANY,,,Cliniques Universitaires UCL Saint-Luc," +32 (0)2 764 78 00
","Avenue Hippocrate, 10 1200 BRUSSELS BELGIUM",,,,"France, Association Source Vive",http://www.source-vive.org/asso.html,,,,,,,
,,,,Deutsches Krebsforschungszentrum, +49 (0)6221 56 8381,Im Neuenheimer Feld 28069120 HEIDELBERGGERMANY,,,Erasme Hospital - ULB, +32 (0)2 555 41 45,Route de Lennik 808 1070 BRUSSELS BELGIUM,,,,"France, La Ligue Contre le Cancer",https://www.ligue-cancer.net,,,,,,,
,,,,Universitätsmedizin Mannheim, +49 (0)621 383 2248,Theodor-Kutzer-Ufer 1 - 368167 MANNHEIMGERMANY,,,Universitair Ziekenhuis Brussel - UZ Brussel, +32 (0)2 801 27 01,Laarbeeklaan 101 1090 BRUSSELS BELGIUM,,,,"Italy, ALTI - Associazione ''Io, domani'' per la Lotta contro i Tumori Infantili",http://www.iodomani.it,,,,,,,
