Medical name ,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Longitude,Latitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude2,Longitude2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB,Symptoms and signs
https://clinicaltrials.gov/ct2/show/NCT00085189?term=Malignant+Melanoma+of+the+Mucosa&age=0&rank=2,,,,Medizinische Universität Innsbruck, +43 (0)512 504 23026,6020 INNSBRUCK AUSTRIA,,,CHR de Metz-Thionville, +33 (0)3 87 34 51 35,1 allée du château - CS45001 57085 METZ CEDEX 03 FRANCE,,,FISH,"United Kingdom, Melanoma Focus",https://melanomafocus.com,Adult,1-9 / 100 000,,,,,Asymptotic
,,,,CHU de Lyon HCL - GH Est-Hôpital Femme Mère Enfant, +33 (0)4 27 85 61 26,59 Boulevard Pinel 69677 BRON CEDEX FRANCE,,,University Hospital of Antwerp - UZA, + 32 (0)3 275 97 74,Wilrijkstraat 10 2650 ANTWERPEN-EDEGEM BELGIUM,,,MOLECULAR GENETICS,"United Kingdom, CLIC Sargent",https://www.clicsargent.org.uk,,,,,,,
,,,,CHU de Saint-Etienne - Hôpital Nord, +33 (0)4 77 82 83 33,Avenue Albert Raimond 42270 SAINT-PRIEST-EN-JAREZ FRANCE,,,Cliniques Universitaires UCL Saint-Luc, +32 (0)2 764 78 00,"Avenue Hippocrate, 10 1200 BRUSSELS BELGIUM",,,,"United Kingdom, Teenage Camcer trust",https://www.teenagecancertrust.org,,,,,,,
,,,,CHU de Nancy - Hôpitaux de Brabois, +33 (0)3 83 15 48 00,"Rue du Morvan 54511 VANDOEUVRE-LÈS-NANCY CEDEX FRANCE
",,,Universitair Ziekenhuis Brussel - UZ Brussel, +32 (0)2 801 27 01,Laarbeeklaan 101 1090 BRUSSELS BELGIUM,,,,"Australia, RCA Rare Cancers Australia limited",https://melanomafocus.com,,,,,,,
,,,,CHRU de Lille - Hôpital Claude Huriez, +3 (0)3 20 44 41 92,Rue Michel Polonovski 59037 LILLE CEDEX FRANCE,,,CHU Sart Tilman - Liège, 32 (0)4 284 36 40,Domaine Universitaire du Sart Tilman - Bâtiment B 35 · B 4000 LIEGE BELGIUM,,,,"Belgium, Fondation contre le Cancer, Fondation d'utilité publique",https://www.cancer.be,,,,,,,
,,,,"CHU Paris Centre - Hôpital Cochin, Site Tarnier", +33 (0)1 58 41 42 43,89 rue d'Assas 75006 PARIS FRANCE,,,Ghent University Hospital - UZ Gent,,Corneel Heymanslaan 10 9000 GENT BELGIUM,,,,"Cyprus, Cyprus Association for Children with Cancer and Related Diseases ""One Dream One Wish""",http://www.enaoniromiaefxi.com/enaoniromiaefxi/,,,,,,,
,,,,CHU de Rouen, +33 (0)2 32 88 80 54,"1 Rue de Germont 76031 ROUEN CEDEX FRANCE
",,,University Hospitals Leuven - Gasthuisberg, +32 (0)16 34 59 03,"Herestraat 49 3000 LEUVEN BELGIUM
",,,,"Cyprus, PA.SY.KA.F - The Cyprus Association of Cancer Patients and Friends",https://pasykaf.org,,,,,,,
,,,,CHU de Montpellier - Hôpital Saint-Eloi, +33 (0)4 67 33 69 06,80 avenue Augustin Fliche 34295 MONTPELLIER CEDEX 5 FRANCE,,,,,,,,,"France, Association Source Vive",http://www.source-vive.org/asso.html,,,,,,,
,,,,CHU de la Réunion - GH Sud Réunion - Saint-Pierre,262 (0)262 35 91 61,BP 350 97448 SAINT-PIERRE CEDEX FRANCE,,,,,,,,,"France, La Ligue Contre le Cancer",https://www.ligue-cancer.net,,,,,,,
,,,,Universitäts-Klinik für Dermatologie und Venerologie,  +49 (0)761 270 67950,Hauptstraße 7 79104 FREIBURG GERMANY,,,,,,,,,"Italy, ALTI - Associazione ''Io, domani'' per la Lotta contro i Tumori Infantili",http://www.iodomani.it,,,,,,,
,,,,Nationales Centrum für Tumorerkrankungen (NCT), +49 (0)6221 56 8562,Im Neuenheimer Feld 460 69115 HEIDELBERG GERMANY,,,,,,,,,"Luxembourg, Een Haerz fir kriibskrank Kanner / Un coeur pour les enfants atteints de cancer",https://www.kriibskrankkanner.lu,,,,,,,
,,,,Universitätsmedizin Mannheim, +49 (0)621 383 3024,Theodor-Kutzer-Ufer 1 - 3 68167 MANNHEIM GERMANY,,,,,,,,,"Poland, KOLIBER - Stowarzyszenie na rzecz dzieci z choroba nowotworowa",https://koliber-dzieciom.pl,,,,,,,
,,,,üdwestdeutsches Tumorzentrum (CCC) - Tübingen-Stuttgart, +49 (0)7071 29 85235,Herrenberger Straße 23 72070 TÜBINGEN GERMANY,,,,,,,,,"Poland, Fundacja ""Krwinka""",http://www.krwinka.org,,,,,,,
,,,,Hautklinik am Universitätsklinikum Erlangen, +49 (0)9131 85 33165,Ulmenweg 18 91054 ERLANGEN GERMANY,,,,,,,,,"Spain, Federación Española de Padres de Niños con Cáncer",https://cancerinfantil.org,,,,,,,
,,,,Klinik und Poliklinik für Dermatologie und Allergologie - Campus Innenstadt, +49 (0)89 4400 56391,Frauenlobstraße 9-11 80337 MÜNCHEN GERMANY,,,,,,,,,"Serbia, ZVONCICA - Childhood cancer parent organisation",http://www.zvoncica.org.rs,,,,,,,
,,,,Kuopio University Hospital,358 17 172 396,Puijonlaaksontie 2 70210 KUOPIO FINLAND,,,,,,,,,,,,,,,,,
,,,,TAYS - Tampere University Hospital,,Teiskontie 35 33520 TAMPERE FINLAND,,,,,,,,,,,,,,,,,
,,,,Turku University Hospital,358 2 313 2400,Kiinamyllynkatu 4-8 20520 TURKU FINLAND,,,,,,,,,,,,,,,,,
