Medical name,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Latitude,Longitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude_2,Longitude_2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB,Symptoms and signs,Freq symp
Aldesleukin,Proleukin,Nausea,Chest pain,LUMC - Leids Universitair Medisch Centrum, +31 (0)715269111,Albinusdreef 2333 ZA LEIDEN,"52,17","4,48",LUMC - Leids Universitair Medisch Centrum, +31 (0)71 526 911,Albinusdreef 22333 ZA LEIDEN,,,Array based techniques,"United Kingdom, Melanoma Focus",https://melanomafocus.com,Adult,1-9 / 1 000 000,cysteinyl leukotriene receptor 2,CYSLTR2,Disease-causing somatic mutation(s) in,Q9NS75,Visual loss,Very frequent (99-80%)
Interleukin - 2,,Vomiting,Seizures,Erasmus MC - Erasmus Medisch Centrum, +31 (0)10 704 0704,s-Gravendijkwal 230 3015 CE ROTTERDAM,"51,91","4,46",Erasmus MC - Erasmus Medisch Centrum, +31 (0)10 704 0704,Gravendijkwal 230 3015 CE ROTTERDAM,,,Sanguer sequencing,"United Kingdom, CLIC Sargent",https://www.clicsargent.org.uk,,,BRCA1 associated protein 1,BAP1,Disease-causing germline mutation(s) in,Q92560,Abnormal fundus morphology,Very frequent (99-80%)
,,Diarrhea,Extreme worry,Het Oogziekenhuis Rotterdam, +31 (0)10 401 7666,"Schiedamse Vest 180, 3011 BH ROTTERDAM","51,92","4,48",Het Oogziekenhuis Rotterdam, +31 (0)10 401 7666,Schiedamse Vest 180 3011 BH ROTTERDAM,,,MLPA based techniques,"United Kingdom, Teenage Camcer trust",https://www.teenagecancertrust.org,,,G protein subunit alpha q,GNAQ,Disease-causing somatic mutation(s) in,P50148,Choroidal melanoma,Very frequent (99-80%)
,,Loss of appetite,abnormal excitement or agitation,Medizinische Universität Graz, +43 (0)316 385 12453,"Auenbruggerpl. 2, 8036 GRAZ","47,07","15,44",CHR de Metz-Thionville,  +33 (0)3 87 34 51 35,1 allée du château - CS45001 57085 METZ CEDEX 03,,,FISH,"Australia, RCA Rare Cancers Australia limited",https://melanomafocus.com,,,G protein subunit alpha 11,GNA11,Disease-causing somatic mutation(s) in,P29992,Retinal detachment,Frequent (79-30%)
,,Sores in the mouth and thorat,new or worsening depression,Allgemeines Krankenhaus der Stadt Wien, +43 (0)1 40400 79000,Währinger Gürtel 18-20 1097 WIEN,"48,22","16,34",University Hospital of Antwerp - UZA, + 32 (0)3 275 97 74,Wilrijkstraat 10 2650 ANTWERPEN-EDEGEM,,,Karyotyping,"Belgium, Fondation contre le Cancer, Fondation d'utilité publique",https://www.cancer.be,,,splicing factor 3b subunit 1,SF3B1,Biomarker tested in,O75533,Iris melanoma,Frequent (79-30%)
,,Tiredness,seeing things or hearing voices that do not exist (hallucinating),Medizinische Universität Wien, +43 (0)1 40400 39400,"Währinger Str. 13, 1090 WIEN","48,22","16,36",Cliniques Universitaires UCL Saint-Luc, +32 (0)2 764 78 00,"Avenue Hippocrate, 10 1200 BRUSSELS",,,NGS sequencing (except WES),"Cyprus, Cyprus Association for Children with Cancer and Related Diseases ""One Dream One Wish""",http://www.enaoniromiaefxi.com/enaoniromiaefxi/,,,,,,,Ciliary body melanoma,Frequent (79-30%)
,,Weakness,changes in your vision or speech,St. Anna Kinderspital, +43 (0)1 40170,"Kinderspitalgasse 6, 1090 WIEN","48,22","16,34",Erasme Hospital - ULB, +32 (0)2 555 41 45,Route de Lennik 808 1070 BRUSSELS,,,Microsatellite analysis,"Cyprus, PA.SY.KA.F - The Cyprus Association of Cancer Patients and Friends",https://pasykaf.org,,,,,,,Abnormality of refraction,Occasional (29-5%)
,,Dizziness,loss of coordination,GH Est des HCL - Institut d'Hématologie et d'Oncologie Pédiatrique (IHOPe), + 33 (0)4 78 78 26 06,"1 Place Joseph Renaut, 69008 LYON","45,74","4,88",Universitair Ziekenhuis Brussel - UZ Brussel, +32 (0)2 801 27 01 ,Laarbeeklaan 101 1090 BRUSSELS,,,,"France, Association Source Vive",http://www.source-vive.org/asso.html,,,,,,,Vitreous hemorrhage,Occasional (29-5%)
,,Unwell feelin,decreased alertness,CLCC Oscar Lambret, + 33 (0)3 20 29 59 56,"3 Rue Frédéric Combemale BP 307, 59020 LILLE CEDEX","50,61","3,03",CHU Sart Tilman - Liège,  +32 (0)4 284 36 40,Domaine Universitaire du Sart Tilman - Bâtiment B 35 · B 4000 LIEGE,,,,"France, La Ligue Contre le Cancer",https://www.ligue-cancer.net,,,,,,,Ocular hypertension,Occasional (29-5%)
,,Pain at the place where the injection was given,unusual bruising or bleeding,CLCC Institut Gustave Roussy, +33 (0)1 42 11 41 73 ,"114 rue Edouard Vaillant, 94805 VILLEJUIF CEDEX","37,94","-122,32",Ghent University Hospital - UZ Gent,,Corneel Heymanslaan 10 9000 GENT,,,,"Italy, ALTI - Associazione ''Io, domani'' per la Lotta contro i Tumori Infantili",http://www.iodomani.it,,,,,,,Inferior lens subluxation,Occasional (29-5%)
