Medical name ,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Longitude,Latitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude2,Longitude2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB,Symptoms and signs,Freq symp
,,,,Allgemeines Krankenhaus der Stadt Wien, +43 (0)1 40400 77000,Währinger Gürtel 18-20 1097 WIEN AUSTRIA,,,Kepler Universitätsklinikum - Med Campus IV, +43 (0)5 7680 84 29601,"Krankenhausstraße 26-30, 4020 LINZ, AUSTRIA ",,,MLPA based techniques,"United Kingdom, Melanoma Focus",https://melanomafocus.com,Adult,1-9 / 100 000,cyclin dependent kinase 4,CDK4,Major susceptibility factor in,P11802,Retinopathy,Occasional (29-5%)
,,,,ASST Spedali Civili di Brescia, +39 030 3995300,Piazzale Spedali Civili 1 25123 BRESCIA ITALY,,,Salzburger Landeskliniken (SALK) / Paracelsus Med. Privatuniversität (PMU), +43 (0)5 7255 26255,"Müllner Hauptstraße 48, 5020 SALZBURG, AUSTRIA",,,Sanger sequencing,"United Kingdom, CLIC Sargent",https://www.clicsargent.org.uk,Adult,1-9 / 100 000,cyclin dependent kinase inhibitor 2A,CDKN2A,Major susceptibility factor in,P42771,Dry skin,Frequent (79-30%)
,,,,LUMC - Leids Universitair Medisch Centrum, +31 (0)71 526 2630,"Albinusdreef 2 2333 ZA LEIDEN NETHERLANDS
",,,Medizinische Universität Wien, +43 (0)1 40160 56531," Spitalgasse 23, 1090 Wien",,,PCR based techniques,"United Kingdom, Teenage Camcer trust",https://www.teenagecancertrust.org,Adult,1-9 / 100 000,melanocyte inducing transcription factor,MITF,Major susceptibility factor in,O75030,Freckling,Frequent (79-30%)
,,,,Medizinische Universität Innsbruck, +43 (0)512 504 23026,"6020 INNSBRUCK AUSTRIA
",,,University Hospital of Antwerp - UZA, + 32 (0)3 275 97 74,"Wilrijkstraat 10, 2650 ANTWERPEN-EDEGEM",,,FISH,"Australia, RCA Rare Cancers Australia limited",https://melanomafocus.com,Adult,1-9 / 100 000,telomerase reverse transcriptase,TERT,Major susceptibility factor in,O14746,Abnormality of the hair,Frequent (79-30%)
,,,,CHU de Lyon HCL - GH Est-Hôpital Femme Mère Enfant, +33 (0)4 27 85 61 26,59 Boulevard Pinel 69677 BRON CEDEX FRANCE,,,Cliniques Universitaires UCL Saint-Luc, +32 (0)2 764 78 00,"Avenue Hippocrate, 10, 1200 BRUSSELS, BELGIUM",,,Whole Exome Sequencing (WES),"Belgium, Fondation contre le Cancer, Fondation d'utilité publique",https://www.cancer.be,Adult,1-9 / 100 000,melanocortin 1 receptor,MC1R,Major susceptibility factor in,Q01726,Abnormality of extrapyramidal motor function,Occasional (29-5%)
,,,,CHU de Saint-Etienne - Hôpital Nord, +33 (0)4 77 82 83 33,Avenue Albert Raimond 42270 SAINT-PRIEST-EN-JAREZ FRANCE,,,,,,,,Molecular genetics,"Cyprus, Cyprus Association for Children with Cancer and Related Diseases ""One Dream One Wish""",http://www.enaoniromiaefxi.com/enaoniromiaefxi/,Adult,1-9 / 100 000,BRCA1 associated protein 1,BAP1,Major susceptibility factor in,Q92560,Melanoma,Very frequent (99-80%)
,,,,CHU Dijon Bourgogne - Hôpital François Mitterrand, +33 (0)3 80 29 33 36,2 bd Maréchal de Lattre de Tassigny 21000 DIJON FRANCE,,,,,,,,,"Cyprus, PA.SY.KA.F - The Cyprus Association of Cancer Patients and Friends",https://pasykaf.org,Adult,1-9 / 100 000,cyclin dependent kinase inhibitor 2B,CDKN2B,Candidate gene tested in,P42772,Neoplasm of the pancreas,Occasional (29-5%)
,,,,CHRU de Brest - Hôpital Morvan, +33 (0)2 98 22 33 15,2 Avenue Foch 29609 BREST CEDEX FRANCE,,,,,,,,,"France, Association Source Vive",http://www.source-vive.org/asso.html,Adult,1-9 / 100 000,O-6-methylguanine-DNA methyltransferase,MGMT,Major susceptibility factor in,P16455,Nevus,Very frequent (99-80%)
,,,,CHU de Nancy - Hôpitaux de Brabois, +33 (0)3 83 15 48 00,Rue du Morvan 54511 VANDOEUVRE-LÈS-NANCY CEDEX FRANCE,,,,,,,,,"France, La Ligue Contre le Cancer",https://www.ligue-cancer.net,Adult,1-9 / 100 000,protection of telomeres 1,POT1,Major susceptibility factor in,Q9NUX5,Neoplasm of the stomach,Occasional (29-5%)
,,,,CHRU de Lille - Hôpital Claude Huriez, +33 (0)3 20 44 41 92,Rue Michel Polonovski 59037 LILLE CEDEX FRANCE,,,,,,,,,"Italy, ALTI - Associazione ''Io, domani'' per la Lotta contro i Tumori Infantili",http://www.iodomani.it,Adult,1-9 / 100 000,ACD shelterin complex subunit and telomerase recruitment factor,ACD,Major susceptibility factor in,Q96AP0,Neoplasm of the breast,Occasional (29-5%)
